	Generated Question	inherently textual	overspecified	parsing	NED	EL	entity type	mention	Related but not pictured	not prominent	pictures something else	any error
	In the game of this game of chance, ‘Get up and run’ represents which number?</td>			1					1			1
	In which modern day country was this musician born?</td>											0
	What is the atomic number of this chemical element?</td>						1					1
	Which dynasty, lasting from 907 to 1125 CE, ruled this country?</td>						1					1
	What country borders this country?</td>						1					1
	What was the name of the Argentine Navy cruiser which was torpedoed and sunk during this war?</td>						1					1
	Who wrote this literary work?</td>								1			1
	this non-fiction writer is the last survivor of which family of siblings?</td>											0
	this man is buried in which European country?</td>											0
	Which film, directed by this film producer and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?</td>											0
	Who was the son of this man?</td>								1			1
	What dish derives from the Portuguese dish Carne de Vinha d' Alhos (pork preserved in red wine or red wine vinegar, chili pepper, and stewed with garlic) which was brought to this state of India and evolved into the a dish of meat, usually lamb, with wine and garlic plentiful amounts of spice?</td>						1					1
	What movie starred this man?</td>											0
	What is the name of the estuary north of this commune of France in SW France, formed by the confluence of the Garonne and Dordogne rivers ?</td>						1					1
	this prostitute came out as which best selling X-rated blogger?</td>							1				1
	To within five years either way, in which year was the Boy Scout movement founded by this man?</td>		1									1
	Who was manager of Sheffield Wednesday when they won the League Cup in 1991, beating this business ?</td>		1									1
	Which river enters the sea at this civil parish in Yorkshire?</td>						1					1
	What ancient monument and tourist attraction would you see at this commune of France in northern France?</td>						1					1
	Which French winner of this literary award, famously dedicated it to his primary school teacher?</td>						1					1
	Who was the next British Prime Minister after this philosopher?</td>											0
	What was his most famous novel?</td>											0
	Josiah Tulkinghorn is Sir Lester Dedlock’s lawyer in which novel by him?</td>											0
	this dog breed is more properly known by which name?</td>											0
	this human population demonstrated the first modern electric battery?</td>						1					1
	Which country is bordered by this sovereign state to the west and China to the north?</td>						1					1
	she was the first female head of which organisation?</td>											0
	In what year did the five founding members of this intergovernmental organization hold their first meeting?</td>						1					1
	Which English religious leader founded this religious community in the 17th Century?</td>						1					1
	When Sir Alex Ferguson retired in May 2013 after 26 years as manager for this association football club ?</td>		1	1								1
	this taxon belongs to which family of birds?</td>											0
	In which is his plays are the title character's last words the rest is silence?</td>								1			1
	What does the title of the play ‘Die Rauber’, by this man, translate to in English?</td>	1										1
	What 2008 film is an adaptation by this writer?</td>											0
	When was the sculpture of the four faces on this protected area begun?</td>											0
	Which European nation was the colonial power of this presidential régime for 350 years until officially ceding control in December 1949?</td>						1					1
	this big city is the capital of which country?</td>						1					1
	this Royal Air Force station is situated in which English county?</td>						1					1
	In what country is the religion of this folk religion commonly practiced?</td>						1					1
	What hero from Greek mythology was killed by a discus thrown by this man?</td>											0
	Which city in this state of Germany was known as Karl-Marx-Stadt from 1953 until 1990?</td>						1					1
	Which city in Saxony was known as this independent city of Germany from 1953 until 1990?</td>						1					1
	Which character was played by this actor in The Avengers?</td>											0
	What is the third largest port of this sovereign state, accessed by a canal 200 metres (660 feet) wide and 32 kilometres (20 miles) long, which ends near the Dutch port of Terneuzen?</td>						1					1
	Fawlty Towers was written by John Cleese and Connie Booth, who played main characters. Which character did this woman play?</td>											0
	this man is the birth name of which artist?</td>	1										1
	For which movie did this woman win her second Oscar?</td>											0
	A 1993 film starring this man was Sleepless in ...  where?</td>		1									1
	Who is the Vice-President for him?</td>											0
	this private university is situated in which American State?</td>						1					1
	Where did he ‘imprison’ his two young nephews in order to eliminate them from succession to the throne so that he could gain the crown of England?</td>								1			1
TOTALS	51	2	4	2	0	0	21	1	5	0	0	33
PERCENTAGES		3.92156862745098%	7.84313725490196%	3.92156862745098%	0%	0%	41.1764705882353%	1.96078431372549%	9.80392156862745%	0%	0%	64.7058823529412%
