	Generated Question	inherently textual	overspecified	parsing	NED	EL	entity type	mention	Related but not pictured	not prominent	pictures something else	any error
	In which modern day country was this conductor born?</td											0
	she is the last survivor of which family of siblings?</td>											0
	he is buried in which European country?</td>											0
	Which film, directed by this film director and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?</td>											0
	From 1937 to 1942 this journalist was Assistant in Charge of the Archive of Folk Song of what establishment?</td>											0
	this woman came out as which best selling X-rated blogger?</td>											0
	To within five years either way, in which year was the Boy Scout movement founded by this sculptor?</td>		1									1
	What play written in 1902 by this man reverses the rankings of the classes in British society when aristocrats and servants are shipwrecked on a deserted tropical island?</td>											0
	this university teacher became president of which South American country in May 1958?</td>											0
	Who was the next British Prime Minister after this politician?</td>											0
	What was his most famous novel?</td>											0
	she was the first female head of which organisation?</td>											0
	What is the real name of this karateka was the lowest-charting single of her solo career?</td>			1								1
	this soldier presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.</td>							1				1
	Which band featured her?</td>											0
	Which character was played by this woman in The Avengers?</td>											0
	In 2009, who was convicted of the murder of this film actor?</td>											0
	Fawlty Towers was written by this autobiographer. Which character did Connie Booth play?</td>		1									1
	Fawlty Towers was written by John Cleese and Connie Booth, who played main characters. Which character did she play?</td>		1									1
	What is the first name of this man?</td>											0
	For which movie did this woman win her second Oscar?</td>											0
	What period film of him that recounts the exploits of an 18th century Irish adventurer is loosely based on a novel of William Makepeace Thackeray?</td>											0
	A 1993 film starring this actor was Sleepless in ...  where?</td>		1									1
	Which team did this man manage to win the 2004 UEFA Champions League Final - beating Monaco 3-0?</td>		1									1
	Who is the Vice-President for this statesperson?</td>											0
	this man were at one time co-owners of which Premier League club?</td>											0
	Who is the famous brother of this man?</td>											0
	In which film does this woman try to fiddle a US stay for Gerard Depardieu?</td>		1								1	1
	In which film does Andie MacDowell try to fiddle a US stay for him?</td>											0
	this woman was effectively imprisoned for life in New York for being an irresponsible immune carrier of what disease?</td>											0
	In September 2006 the government of this man was overthrown in which Asian country?</td>											0
	What boy with a girl's name was sung about by this man?</td>											0
	What is this woman surname?</td>											0
	What was the last name of him?</td>											0
	Which actress married this man on Valentine's Day in 1991?</td>											0
	Which 1969 film, based on a stage musical, marked the directorial debut of him?</td>											0
	Which ITV magazine style show ran from 1968 to 1980 and featured presenters including this film actor?</td>											0
	this man was appointed Master of the King’s Musick to which monarch?</td>											0
	this association football manager was appointed manager of which football club September to December 2000 - his first managerial post?</td>											0
	Which England cricket captain had a row with him in December 1987?</td>											0
	she was the first female prime minister of which country?</td>											0
	In 1942, which town was destroyed by Nazis in reprisal for the assassination of this military personnel?</td>											0
	For which scientific discovery did this man receive the 1962 Nobel Prize for Medicine?</td>											0
	In 1968, who did she shoot and wound as he entered his New York studio?</td>											0
	this woman was married to whom for 2 years from April 1997?</td>											0
	In which novel by this man is 'Arthur Seaton' employed at a bicycle factory?</td>											0
	Which figure from Scottish history was played by him in a 1995 film?</td>											0
	In November 1975 he was declared King of which European country?</td>											0
	On which island in the North Sea did this missionary live?</td>											0
	What is the name of the laboratory in New Jersey which is associated with this entrepreneur?</td>											0
	this woman played Charlene Robinson in what soap opera?</td>											0
	In the Bible, who was put to death, because he coveted his vineyard?</td>										1	1
TOTALS	52	0	6	1	0	0	0	1	0	0	2	9
PERCENTAGES		0%	11.5384615384615%	1.92307692307692%	0%	0%	0%	1.92307692307692%	0%	0%	3.84615384615385%	17.3076923076923%
